Layer,Target,Num_Devices,Device_List,Num_Vendors,Vendors,Is_Implicit,FlowUID_Count,FlowSet_Hash,Dedup_Group_ID,Dedup_Group_Size
Service,a-0001.a-msedge.net,2,Harmon Kardon Invoke_YT|Samsung Smart TV_YT,2,harman kardon|samsung,TRUE,395,13d722b9fd62c96bf32bb9038a208d6d06504c3a,SET_000608,1
Service,aidevice.cn-hangzhou.log.aliyuncs.com,2,Tianmao Speaker_selfdata|midea_mirror,2,midea|tianmao,TRUE,65,00b2b843867f67ebab60cf8893d6634a96a6dbe9,SET_000610,1
Service,cdn.cnbj2.fds.api.mi-img.com.wsglb0.com,2,Xiaobai Camera_selfdata|Xiaomi Camera_Mon(uk),2,xiaobai|xiaomi,TRUE,6,39012645030d700f28e88ada06a7b9f774452ab7,SET_000611,1
Service,processor.smartcamera.api.io.mi.com,2,Xiaobai Doorbell_selfdata|Xiaomao Camera_selfdata,2,xiaobai|xiaomao,TRUE,11,6c67e1594e8aed084ed8f243c9ba413d48f46921,SET_000613,1
Service,iot102.music.126.net.w.cdngslb.com,2,Xiaodu Clock_selfdata|xiaomitv_speaker,2,xiaodu|xiaomi,TRUE,16,7a40636dd58ddf244dcb76434333d2a42c33d2b7,SET_000615,1
Service,xiaomi10.p2psy2.mijia.tech,3,Xiaomao Camera_selfdata|Xiaomi Camera3_selfdata|xiaomitv_speaker,2,xiaomao|xiaomi,TRUE,176,1b9aeb92e92b208d094e7483f2329b86c847b1a5,SET_000439,2
Service,xiaomi10.p2psy3.mijia.tech,3,Xiaomao Camera_selfdata|Xiaomi Camera3_selfdata|xiaomitv_speaker,2,xiaomao|xiaomi,TRUE,169,ba22a0f70018c1c7a7e98b9213b4b5c9b9191147,SET_000440,2
Service,music.dsplego-dk.sched.dcloudstc.com,3,Xiaojingyu Clock_selfdata|Xiaomi Sound_selfdata|Xiaomi Speaker_selfdata,2,xiaojingyu|xiaomi,TRUE,48,15e4d4058d129ea15316db6bfd323e17e97bbefe,SET_000616,1
Service,wisedevice-hilink-drcn.things.dbankcloud.cn,2,Dalen Light_selfdata|Xiaotun Camera_selfdata,2,dalen|xiaotun,TRUE,7,65bc4045fc2805ab63abfe7e33453899aef99718,SET_000617,1
Service,update-drcn.platform.hicloud.com,2,Dalen Light_selfdata|Xiaotun Camera_selfdata,2,dalen|xiaotun,TRUE,6,e00301cd763bf5e125536f1d6f1ac5bd8d0cfb80,SET_000619,1
Service,device-messaging-na.amazon.com,10,Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Our|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our|Amazon Fire TV_Mon(uk)|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Cloud Camera_Mon(us),2,amazon|unknown,TRUE,50,48eb0341031968ed5e3f184eb5e444e7f9e23436,SET_000620,1
Service,todo-ta-g7g.amazon.com,11,Amazon Echo Gen1_Our|Amazon Echo Gen1_Our2|Amazon Echo Gen1_UNSW|Amazon Echo Gen1_YT|Amazon Echo Gen2_Mon(uk)|Amazon Echo Gen2_Our|Amazon Echo Gen3_Mon(us)|Amazon Echo Look_Our|Amazon Fire TV_Mon(us)|Amazon Fire TV_YT|Cloud Camera_Mon(us),2,amazon|unknown,TRUE,52,f8ebd50ede54640230bc729afb224138f003ea55,SET_000621,1
Service,www.meethue.com,3,Amazon Echo Gen1_YT|Google Home Mini_YT|Google Home_YT,2,amazon|google,TRUE,76,9f385f3bcae2c3a17ef50330da0ca32429c7ff59,SET_000489,2
Service,pipe.cloudapp.aria.akadns.net,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,273,5b70599d2421575ea89c8ffbf5bff5175f69120c,SET_000622,1
Service,root.skype-edf.akadns.net,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,35,0bfea327d15afea14ac97d05fc3a1702a7d014ed,SET_000623,1
Service,s-0001.s-msedge.net,3,Harmon Kardon Invoke_YT|Invoke_IoTLS|Invoke_Mon(us),2,harman kardon|unknown,TRUE,50,a28afa0ebea11f33e285c57e51c1d3be2c993dcd,SET_000545,2
Service,harman-podium.redbend.com,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,31,e4cb967b9dfa360b54d9bbef31b197bbba926ad9,SET_000546,2
Service,sconsentit911p.cloudapp.net,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,13,3b2752cf4bb469e41f52e8c423c2142e1f04ccc4,SET_000547,2
Service,continuum.dds.microsoft.com.akadns.net,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,39,eaac19a9418ed4468f2543ba53f76811a013339c,SET_000548,2
Service,vs.login.msa.akadns6.net,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,7,4112777ee7a560870d965796c05df0f7671d7ed0,SET_000624,1
Service,dm3p.wns.notify.windows.com.akadns.net,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,5,e8d83243446a4b87eda947c42454a66a7fda53a6,SET_000625,1
Service,skypeecs-prod-use-0.cloudapp.net,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,8,d49472b60d9d46c0c34cd7c05d24d1a450bca66c,SET_000549,2
Service,rps-usea-b.cloudapp.net,2,Harmon Kardon Invoke_YT|Invoke_Mon(us),2,harman kardon|unknown,TRUE,47,1e34bb08ac33bd6df2202074fa41a3dc7be16c23,SET_000626,1
Service,oauth-login-drcn-platform-dbankcloud-com-drcn.appacc-region.dbankedge.cn,2,Lecheng Camera_selfdata|huawei_tv,2,huawei|lecheng,TRUE,16,ba037887060136716e8bb20437a4022f928ab61e,SET_000627,1
